error | 20231003 11:25:51 | Prueba logger error
fatal | 20231003 11:25:51 | Prueba logger fatal
error | 20231003 11:25:58 | Prueba logger error
fatal | 20231003 11:25:58 | Prueba logger fatal
fatal | 20231007 18:46:46 | prueba guardado error en archivo
fatal | 20231007 18:51:32 | prueba guardado error en archivo
fatal | 20231007 18:54:58 | prueba guardado error en archivo
fatal | 20231007 18:55:41 | prueba guardado error en archivo
fatal | 20231007 18:56:58 | prueba guardado error en archivo
fatal | 20231007 18:57:03 | prueba guardado error en archivo
fatal | 20231007 18:57:53 | prueba guardado error en archivo
fatal | 20231007 18:58:08 | prueba guardado error en archivo
fatal | 20231007 18:58:34 | prueba guardado error en archivo
fatal | 20231007 18:58:35 | prueba guardado error en archivo
fatal | 20231007 18:59:42 | prueba guardado error en archivo
fatal | 20231007 19:00:04 | prueba guardado error en archivo
fatal | 20231007 19:00:04 | prueba guardado error en archivo
fatal | 20231007 19:01:19 | prueba guardado error en archivo
fatal | 20231007 19:01:19 | prueba guardado error en archivo
fatal | 20231007 19:01:54 | prueba guardado error en archivo
fatal | 20231007 19:01:55 | prueba guardado error en archivo
fatal | 20231007 19:02:20 | prueba guardado error en archivo
fatal | 20231007 19:02:21 | prueba guardado error en archivo
fatal | 20231007 19:02:38 | prueba guardado error en archivo
fatal | 20231007 19:02:39 | prueba guardado error en archivo
fatal | 20231007 19:02:58 | prueba guardado error en archivo
fatal | 20231007 19:02:59 | prueba guardado error en archivo
fatal | 20231007 19:03:20 | prueba guardado error en archivo
fatal | 20231007 19:03:21 | prueba guardado error en archivo
fatal | 20231007 19:03:55 | prueba guardado error en archivo
fatal | 20231007 19:04:18 | prueba guardado error en archivo
fatal | 20231007 19:04:18 | prueba guardado error en archivo
fatal | 20231007 19:05:12 | prueba guardado error en archivo
fatal | 20231007 19:05:13 | prueba guardado error en archivo
fatal | 20231007 19:06:19 | prueba guardado error en archivo
fatal | 20231007 19:07:31 | prueba guardado error en archivo
fatal | 20231007 19:07:35 | prueba guardado error en archivo
fatal | 20231007 19:09:25 | prueba guardado error en archivo
fatal | 20231007 19:09:36 | prueba guardado error en archivo
fatal | 20231007 19:11:21 | prueba guardado error en archivo
fatal | 20231007 19:12:09 | prueba guardado error en archivo
fatal | 20231007 19:12:38 | prueba guardado error en archivo
fatal | 20231007 19:13:40 | prueba guardado error en archivo
fatal | 20231007 19:13:45 | prueba guardado error en archivo
fatal | 20231007 19:13:48 | prueba guardado error en archivo
fatal | 20231007 19:13:50 | prueba guardado error en archivo
fatal | 20231007 19:13:53 | prueba guardado error en archivo
fatal | 20231007 19:13:56 | prueba guardado error en archivo
fatal | 20231007 19:13:58 | prueba guardado error en archivo
fatal | 20231007 19:14:03 | prueba guardado error en archivo
fatal | 20231007 19:14:44 | prueba guardado error en archivo
fatal | 20231007 19:52:12 | prueba guardado error en archivo
fatal | 20231007 19:53:44 | prueba guardado error en archivo
fatal | 20231007 19:55:11 | prueba guardado error en archivo
error | 20231008 08:33:55 | Prueba logger error
fatal | 20231008 08:33:55 | Prueba logger fatal
